asset_id,role,source_path,public_path,width,height,sha256,ingest_status
series-brighton-by-bench,hero,,/work/photography/series-brighton-by-bench.jpg,,,done,
series-lightworms,hero,,/work/photography/series-lightworms.jpg,,,done,
series-india-2016,hero,,/work/photography/series-india-2016.jpg,,,done,
lightworms-01,hero,,/work/photography/lightworms-01.jpg,,,done,
lightworms-02,hero,,/work/photography/lightworms-02.jpg,,,done,
shop-limited-prints,hero,,/work/photography/shop-limited-prints.jpg,,,done,
shop-digital-editions,hero,,/work/photography/crypto/banner.jpg,,,done,
plotter-postcards,hero,,/work/plotter/products/postcards/IMG_5206.jpg,,,done,
dictionary_animation_rising_01,hero,,/work/photography/token_mints/0 - He's Rising.gif,,,,done
brighton_fox,hero,,/work/photography/token_mints/1 - A Foxy Afternoon.jpg,,,,done
screw_tightens,hero,,/work/photography/token_mints/3 - The Screw Tightens.png,,,,done
birds_in_brighton_01,hero,,/work/photography/token_mints/5 - Herring Gull.jpg,,,,done
birds_in_brighton_02,hero,,/work/photography/token_mints/6 - Starling.jpg,,,,done
birds_in_brighton_03,hero,,/work/photography/token_mints/7 - Jay.jpg,,,,done
birds_in_brighton_04,hero,,/work/photography/token_mints/8 - House Sparrow.jpg,,,,done
hicetnunc_minting_events_01,hero,,/work/photography/token_mints/9 - oneHENdreddays.jpg,,,,done
bristol_rainshine_01,hero,,"/work/photography/token_mints/10 - Bristol_s Rainshine, Millenium Part 1 Seagull at Pero_s Bridge.JPG",,,,done
bristol_rainshine_02,hero,,"/work/photography/token_mints/11 - Bristol_s Rainshine, Millenium Part 2 Planetarium @Bristol.jpg",,,,done
bristol_rainshine_03,hero,,/work/photography/token_mints/12.JPG,,,,done
rip_400d_mosaic,hero,,/work/photography/token_mints/13 - RIP 400D.jpg,,,,done
photography_changes_everything,hero,,/work/photography/token_mints/14 - Photography Changes Everything.jpg,,,,done
owl_above,hero,,/work/photography/token_mints/15 - Owl Above.tiff,,,,done
sun_bloodened_sky,hero,,/work/photography/token_mints/16 - Sun Bloodened Skyjpg.jpg,,,,done
objkt_key,hero,,/work/photography/token_mints/17 - X. S . M. Objkt Key.htm,,,,done
country_playing_field,hero,,/work/photography/token_mints/18 - Country Playing Field.jpg,,,,done
swirled_sunset,hero,,/work/photography/token_mints/19 - Swirled Sunset.jpg,,,,done
decayed_visage,hero,,/work/photography/token_mints/20 - Decayed Visage.jpg,,,,done
brighton_triptychs_portraits_pigeon,hero,,/work/photography/token_mints/21 - P-Pigeon Bath.jpg,,,,done
brighton_triptychs_portraits_detectorist,hero,,/work/photography/token_mints/22 - P-Detectorist.jpg,,,,done
brighton_triptychs_portraits_seagulls,hero,,/work/photography/token_mints/23 - P-Seagulls.jpg,,,,done
brighton_triptychs_portraits_triptych,hero,,/work/photography/token_mints/24 - P-Brighton Sunrise Beach 1 Portraits.png,,,,done
brighton_triptychs_landscapes_seagull_flying,hero,,/work/photography/token_mints/25 - Sea L-Gull.jpg,,,,done
brighton_triptychs_landscapes_detectorist,hero,,/work/photography/token_mints/26 - L-Detectorist.jpg,,,,done
brighton_triptychs_landscapes_seagulls,hero,,/work/photography/token_mints/27 - L-Seagulls.jpg,,,,done
brighton_triptychs_landscapes_triptych,hero,,/work/photography/token_mints/28 - Brighton Sunrise Beach 1 Landscapes-M.png,,,,done
brighton_sunshine_01,hero,,/work/photography/token_mints/29 - Sheridan House.jpg,,,,done
brighton_sunshine_02,hero,,/work/photography/token_mints/30 - 130 Western Road.jpg,,,,done
brighton_sunshine_03,hero,,/work/photography/token_mints/31 - Jubilee Clock Tower.jpg,,,,done
brighton_sunshine_04,hero,,/work/photography/token_mints/32 - No. 4 and 2 Richmond Terrace.jpg,,,,done
murder_of_crows_01,hero,,/work/photography/token_mints/33 - A Murder of Crows - 1.jpg,,,,done
murder_of_crows_02,hero,,/work/photography/token_mints/34 - A Murder of Crows - 2.jpg,,,,done
murder_of_crows_03,hero,,/work/photography/token_mints/35 - A Murder of Crows - 3.jpg,,,,done
murder_of_crows_04,hero,,/work/photography/token_mints/36 - A Murder of Crows - 4.jpg,,,,done
murder_of_crows_05,hero,,/work/photography/token_mints/37 - A Murder of Crows - 5.jpg,,,,done
murder_of_crows_06,hero,,/work/photography/token_mints/38 - A Murder of Crows - 6.jpg,,,,done
murder_of_crows_07,hero,,/work/photography/token_mints/39 - A Murder of Crows - 7.jpg,,,,done
murder_of_crows_08,hero,,/work/photography/token_mints/40 - A Murder of Crows - 8.jpg,,,,done
frame_animation_animated_pngs_01,hero,,/work/photography/token_mints/41 - Camera's Watching.png,,,,done
sad_state,hero,,/work/photography/token_mints/42 - WHAT A SAD STATE OF AFFAIRS.jpg,,,,done
self_portrait,hero,,/work/photography/token_mints/43 - Self Portrait.jpg,,,,done
swirling_bokeh,hero,,/work/photography/token_mints/44 - Swirling Bokeh.jpg,,,,done
urtica_dioica,hero,,/work/photography/token_mints/45 - Urtica dioica.jpg,,,,done
black_white_01,hero,,/work/photography/token_mints/46 - The Richmond Building.jpg,,,,done
black_white_02,hero,,/work/photography/token_mints/47 - Lawrence Hill Train Station.jpg,,,,done
black_white_03,hero,,/work/photography/token_mints/48 - Cotham Gardens.jpg,,,,done
black_white_04,hero,,"/work/photography/token_mints/49 - Near Kames, Tighnabruaich.jpg",,,,done
unintentional_camera_movements_01,hero,,/work/photography/token_mints/50 - -.jpg,,,,done
unintentional_camera_movements_02,hero,,/work/photography/token_mints/51 - -.jpg,,,,done
unintentional_camera_movements_03,hero,,/work/photography/token_mints/52 - 18-09-21.jpg,,,,done
bokeh_experiments,hero,,/work/photography/token_mints/53 - Twisted Focus.jpg,,,,done
frame_animation_flowers_01,hero,,/work/photography/token_mints/54 - Sunset Flower.mp4,,,,done
macro_experiments,hero,,/work/photography/token_mints/55 - At the Point.jpg,,,,done
untitled_01,hero,,/work/photography/token_mints/56 - untitled.jpg,,,,done
reflections_01,hero,,/work/photography/token_mints/57 - a view from a bridge.jpg,,,,done
arise_01,hero,,/work/photography/token_mints/58 - arise.jpg,,,,done
sea_cadets_01,hero,,/work/photography/token_mints/59 - sea cadets.jpg,,,,done
an_abstraction_of_meaning,hero,,/work/photography/token_mints/60 - an abstraction of meaning.jpg,,,,done
the_skies_seem_burning,hero,,/work/photography/token_mints/61 - The skies seem to be burning.jpg,,,,done
lightworms-03,hero,,/work/photography/token_mints/64 - 3 - IMG_5107 - sinking.jpg,,,,done
lightworms-04,hero,,/work/photography/token_mints/65 - 4 - IMG_5181 - shone by streetlight.jpg,,,,done
lightworms-05,hero,,/work/photography/token_mints/66 - 5 - IMG_4766 - signature.jpg,,,,done
lightworms-06,hero,,/work/photography/token_mints/67 - 6 - IMG_5441 - shock.jpg,,,,done
lightworms-07,hero,,/work/photography/token_mints/68 - 7 - IMG_4983 - signs of strips.jpg,,,,done
lightworms-08,hero,,/work/photography/token_mints/69 - 8 - IMG_4999 - daylight screams.jpg,,,,done
lightworms-09,hero,,/work/photography/token_mints/70 - 9 - IMG_5048 - rainbow shimmer.jpg,,,,done
lightworms-10,hero,,/work/photography/token_mints/71 - 10 - IMG_4982 - sprung springs .jpg,,,,done
lightworms-11,hero,,/work/photography/token_mints/72 - 11 - IMG_4784 - fires burn.jpg,,,,done
lightworms-12,hero,,/work/photography/token_mints/73 - 12 - IMG_4967 - from focus.jpg,,,,done
lightworms-13,hero,,/work/photography/token_mints/74 - 13 - IMG_4989 - flying objects.jpg,,,,done
lightworms-14,hero,,/work/photography/token_mints/75 - 14 - IMG_5120 - happening underneath.jpg,,,,done
lightworms-15,hero,,/work/photography/token_mints/76 - 15 - IMG_5384 - the dancing man.jpg,,,,done
lightworms-16,hero,,/work/photography/token_mints/77 - 16 - IMG_5298 - light stained windows.jpg,,,,done
lightworms-17,hero,,/work/photography/token_mints/78 - 17 - IMG_5347 - a falling giant.jpg,,,,done
lightworms-18,hero,,/work/photography/token_mints/79 - 18 - IMG_5267 - rushing.jpg,,,,done
lightworms-19,hero,,/work/photography/token_mints/80 - 19 - IMG_5248 - getting to the station.jpg,,,,done
lightworms-20,hero,,/work/photography/token_mints/81 - 20 - IMG_5225 - green man.jpg,,,,done
lightworms-21,hero,,/work/photography/token_mints/82 - 21 - IMG_5223 - red man.jpg,,,,done
lightworms-22,hero,,/work/photography/token_mints/83 - 22 - IMG_4301 - into the sky.jpg,,,,done
lightworms-23,hero,,/work/photography/token_mints/84 - 23 - IMG_4490 - under an escape.jpg,,,,done
lightworms-24,hero,,/work/photography/token_mints/85 - 24 - IMG_5108 - undershadowed.jpg,,,,done
lightworms-25,hero,,/work/photography/token_mints/86 - 25 - IMG_5297 - light speed.jpg,,,,done
lightworms-26,hero,,/work/photography/token_mints/87 - 26 - IMG_5894 - overwhelmed.jpg,,,,done
lightworms-27,hero,,/work/photography/token_mints/88 - 27 - IMG_5643 - fairies.jpg,,,,done
lightworms-28,hero,,/work/photography/token_mints/89 - 28 - IMG_5647 - fish bar.jpg,,,,done
lightworms-29,hero,,/work/photography/token_mints/90 - 29 - IMG_5642 - phantom.jpg,,,,done
lightworms-30,hero,,/work/photography/token_mints/91 - 30 - IMG_5615 - the agency.jpg,,,,done
lightworms-31,hero,,/work/photography/token_mints/92 - 31 - IMG_5504 - not in service.jpg,,,,done
lightworms-32,hero,,/work/photography/token_mints/93 - 32 - IMG_5109 - out of the dark.jpg,,,,done
