asset_id,slug,title,series_slug,year,summary,image,subsection,sort_order,status,featured,print_available,nft_platform,nft_contract,nft_token_id,tags,print_sizes,print_price_range,product_slug
0,same_spot_again,He Fired into the Same Spot Again,BAE,2021,"First published NFT, on Ethereum via Blochain Art Exchange",/work/photography/token_mints/0(0 ETH) - He Fired into the Same Spot Again.jpg,captured,0,published,,,BAE,0x3edf71a31b80ff6a45fdb0858ec54de98df047aa,893,"photograph, manchester",,,
1,dictionary_animation_rising_01,He's Rising,hicetnunc,2021,Genesis' NFT mint on the Tezos blockchain using the hictenunc open contract.,/work/photography/token_mints/0 - He's Rising.gif,captured,1,published,,,hicetnunc,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,54604,,,,dictionary_animations#he_s_rising
2,brighton_fox,A Foxy Afternoon,hicetnunc,2021,,/work/photography/token_mints/1 - A Foxy Afternoon.jpg,captured,2,published,TRUE,TRUE,hicetnunc,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,68118,fox,Various,�125,
3,screw_tightens,The screw tightens,hicetnunc,2021,,/work/photography/token_mints/3 - The Screw Tightens.png,captured,3,published,,,hicetnunc,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,87939,,,,
4,brighton_gull,Brighton Gull,Kalamint,2021,,/work/photography/token_mints/KT1EpGgjQs73QfFJs9z7m1Mxm5MTnpC2tqse/0 - Brighton Gull.jpg,captured,4,published,,,kalamint,KT1EpGgjQs73QfFJs9z7m1Mxm5MTnpC2tqse,9607,,,,
5,birds_in_brighton_01,Herring Gull,birds-in-brighton,,,/work/photography/token_mints/5 - Herring Gull.jpg,captured,5,published,,,objkt,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,104482,,,,
6,birds_in_brighton_02,Starling,birds-in-brighton,,,/work/photography/token_mints/6 - Starling.jpg,captured,6,published,,,objkt,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,104496,,,,
7,birds_in_brighton_03,Jay,birds-in-brighton,,,/work/photography/token_mints/7 - Jay.jpg,captured,7,published,,,objkt,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,104503,,,,
8,birds_in_brighton_04,House Sparrow,birds-in-brighton,,,/work/photography/token_mints/8 - House Sparrow.jpg,captured,8,published,,,objkt,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,104507,,,,
9,hicetnunc_minting_events_01,oneHENdreddays,hicetnunc,,,/work/photography/token_mints/9 - oneHENdreddays.jpg,captured,9,published,,,hicetnunc,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,120443,,,,
